,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
64,Tyler Cook,WCB,17,28.0,17.2,7.5,11.0,0.684,0.0,0.1,0.0,1.4,2.8,0.479,2.4,5.2,7.6,2.1,0.7,0.5,2.6,2.2,0.7020000000000001,0.684,116.4,9.1,19.9,14.5,12.1,17.8,1.2,1.5,23.0,-4.6,1.6,115.6,113.6,2.0,231.5,20.9,0.226,0.8,0.3,0.3,9,8,0.529,0.6,0.5,1.2
65,Sharife Cooper,COL,22,30.2,17.1,6.0,13.8,0.431,1.6,4.4,0.361,2.2,2.5,0.907,0.8,3.2,4.0,6.9,1.0,0.2,3.6,2.7,0.575,0.488,169.9,2.8,10.5,6.7,31.3,19.6,1.5,0.6,25.5,3.1,1.2,103.2,119.0,-15.8,267.8,14.2,0.29100000000000004,1.9,0.3,0.2,15,7,0.682,-0.2,0.3,0.1
66,Petr Cornelie,GRG,25,33.2,17.8,6.8,13.6,0.49700000000000005,2.2,6.1,0.36200000000000004,1.3,1.9,0.688,2.4,10.4,12.7,2.9,0.9,0.9,2.5,3.6,0.618,0.578,154.6,7.8,32.4,20.4,13.7,14.7,1.3,2.6,22.6,-1.6,1.3,110.5,108.8,1.7,437.3,19.0,0.23800000000000002,1.2,0.4,0.1,13,12,0.52,0.6,1.4,1.9
67,Darnell Cowart,MHU,14,15.3,5.9,2.1,5.4,0.387,0.6,2.4,0.273,0.6,0.9,0.615,0.4,3.4,3.9,0.9,0.4,0.1,1.9,1.8,0.508,0.447,127.5,2.7,23.6,12.8,8.5,24.4,1.1,0.4,21.5,-8.4,1.1,76.6,113.2,-36.6,42.4,4.9,0.076,0.5,0.2,0.2,4,10,0.28600000000000003,-0.7,0.2,-0.5
68,Allen Crabbe,WES,19,28.3,9.0,2.7,7.2,0.38,1.8,5.2,0.35700000000000004,0.9,1.1,0.857,0.5,4.5,5.1,2.6,1.1,0.1,0.9,1.1,0.585,0.507,159.4,1.9,17.2,9.4,12.5,10.4,1.8,0.3,13.4,3.1,1.2,110.3,112.7,-2.4,179.9,11.2,0.133,2.9,1.2,0.2,12,7,0.632,0.2,0.6,0.9
69,Jordan Crawford,LIN,16,29.3,14.9,5.6,14.5,0.384,2.2,7.1,0.307,0.9,1.3,0.7140000000000001,0.8,3.1,3.8,2.6,1.1,0.3,1.4,1.6,0.495,0.45899999999999996,140.5,2.4,10.9,6.5,13.5,8.4,1.8,0.9,23.3,1.1,1.0,103.1,116.1,-12.9,134.4,12.0,0.20199999999999999,1.9,0.8,0.1,7,9,0.43799999999999994,-0.1,0.4,0.3
70,Jalen Crutcher,GBO,33,33.3,16.2,6.0,12.5,0.48100000000000004,3.0,6.8,0.43799999999999994,0.7,1.1,0.6859999999999999,0.3,3.1,3.3,6.0,0.8,0.2,2.3,1.9,0.624,0.601,160.4,0.9,9.8,5.5,28.7,15.3,1.1,0.7,20.5,5.0,1.3,115.1,121.2,-6.1,416.6,15.5,0.309,2.6,0.3,0.1,9,24,0.273,1.4,0.2,1.6
71,Jarron Cumberland,DEL,9,24.8,10.4,3.2,7.3,0.439,1.0,3.3,0.3,2.0,2.4,0.818,0.9,3.1,4.0,3.6,1.3,0.4,3.2,2.3,0.621,0.508,155.8,3.6,12.6,8.2,19.2,27.7,2.5,1.6,19.5,-3.3,1.4,97.0,109.0,-12.0,73.8,11.1,0.159,1.1,0.4,0.3,6,3,0.667,-0.2,0.4,0.2
72,Nate Darling,ACC,31,32.4,17.1,6.0,14.3,0.419,2.9,7.9,0.36700000000000005,1.5,1.7,0.904,0.7,3.4,4.1,3.1,0.9,0.3,2.2,2.3,0.5710000000000001,0.52,169.0,2.3,10.7,6.6,13.7,12.9,1.4,0.8,23.0,-0.4,1.2,106.6,114.5,-7.9,310.8,13.3,0.213,1.4,0.4,0.1,20,11,0.645,0.2,1.0,1.2
73,Tyler Davis,TEX,8,22.1,9.1,4.0,5.5,0.727,0.1,0.3,0.5,0.5,0.9,0.5710000000000001,3.1,4.6,7.8,1.8,0.9,1.3,2.1,2.4,0.775,0.7390000000000001,179.9,13.8,22.1,17.8,11.8,26.5,1.9,4.7,14.9,-4.3,1.7,120.9,109.4,11.5,94.6,21.1,0.139,0.8,0.4,0.2,5,3,0.625,0.3,0.3,0.5
74,Javin DeLaurier,WIS,29,22.2,6.8,3.0,5.6,0.54,0.0,0.8,0.045,0.4,1.0,0.414,2.6,5.6,8.2,1.5,1.2,1.2,0.8,3.1,0.5579999999999999,0.5429999999999999,99.9,11.1,26.2,18.4,9.4,12.0,2.6,4.6,13.0,0.8,1.2,116.6,111.1,5.5,303.1,17.2,0.11,1.8,1.5,0.2,8,21,0.276,0.6,0.9,1.5
75,Eric Demers,MNE,24,23.1,8.1,2.7,7.3,0.374,2.0,5.8,0.353,0.4,0.5,0.833,0.5,1.3,1.8,1.1,0.7,0.3,0.5,1.5,0.541,0.514,155.9,2.2,5.6,4.0,6.6,5.8,1.4,1.0,15.0,1.3,1.1,106.7,117.6,-10.9,113.8,8.9,0.09300000000000001,2.5,1.5,0.1,12,12,0.5,0.1,0.4,0.4
76,Cheick Diallo,MCC,32,22.5,14.5,6.1,9.0,0.677,0.0,0.2,0.2,1.5,1.8,0.8140000000000001,2.8,8.0,10.8,0.8,0.7,1.3,1.6,2.4,0.737,0.679,169.1,13.2,35.8,24.7,5.7,13.7,1.4,4.4,21.2,-4.5,1.6,128.0,103.0,25.0,506.9,27.1,0.162,0.5,0.4,0.2,22,10,0.688,1.9,1.7,3.6
77,Stephen Domingo,FWN,17,19.7,2.8,1.0,3.6,0.27399999999999997,0.6,2.7,0.217,0.1,0.3,0.4,0.9,3.1,4.1,0.9,0.3,0.4,0.5,1.1,0.374,0.355,89.2,4.5,15.7,10.0,5.7,12.3,0.7,1.6,8.9,0.5,0.8,88.1,116.9,-28.8,63.9,4.8,0.046,1.8,0.6,0.1,7,10,0.41200000000000003,-0.3,0.2,-0.1
78,Damyean Dotson,AUS,25,31.4,15.1,5.3,12.1,0.43700000000000006,2.2,6.0,0.36700000000000005,1.7,1.9,0.915,0.2,3.2,3.4,3.3,1.1,0.1,1.4,1.9,0.584,0.528,171.9,0.6,11.1,5.6,15.0,9.5,1.8,0.3,19.2,2.7,1.2,113.9,116.3,-2.4,254.4,14.1,0.204,2.4,0.8,0.2,10,15,0.4,0.8,0.6,1.4
79,Devon Dotson,WCB,25,33.4,21.0,8.1,17.3,0.46799999999999997,1.0,4.1,0.245,2.8,3.3,0.855,0.8,4.1,4.8,6.9,2.2,0.3,2.0,2.4,0.561,0.49700000000000005,156.8,2.4,13.0,7.7,33.5,9.8,3.3,0.8,27.1,7.7,1.2,113.3,110.8,2.5,419.9,21.2,0.36200000000000004,3.4,1.1,0.2,12,13,0.48,1.1,1.2,2.3
80,Samir Doughty,LAK,7,25.0,9.3,3.0,9.0,0.33299999999999996,0.3,3.0,0.095,1.6,1.7,0.917,1.1,4.3,5.4,2.4,0.9,0.1,1.7,1.7,0.47600000000000003,0.349,134.5,4.7,18.7,11.5,15.4,14.9,1.7,0.5,20.6,-0.4,1.0,84.2,112.9,-28.7,49.8,7.9,0.154,1.4,0.5,0.2,2,5,0.28600000000000003,-0.4,0.2,-0.2
81,Jeff Dowtin,LAK,22,33.3,21.0,8.4,15.0,0.562,1.7,4.0,0.43200000000000005,1.7,2.4,0.731,0.7,3.6,4.3,6.0,1.4,0.2,1.5,1.6,0.6559999999999999,0.62,172.5,2.2,12.1,7.0,28.2,8.3,2.0,0.7,22.9,7.6,1.4,129.0,119.5,9.4,388.3,23.0,0.341,4.1,0.9,0.2,11,11,0.5,2.3,0.3,2.6
82,Henri Drell,WCB,29,17.9,5.2,1.9,5.0,0.37200000000000005,0.8,2.7,0.308,0.3,0.7,0.5,0.7,2.3,3.0,1.2,0.9,1.0,0.9,2.2,0.494,0.455,118.0,3.9,13.9,8.9,9.0,14.5,2.6,5.0,15.2,-0.7,1.0,92.8,109.9,-17.2,136.3,10.1,0.076,1.3,1.0,0.1,13,16,0.44799999999999995,-0.5,0.8,0.2
83,David Duke,LIN,13,29.5,16.2,5.3,14.2,0.373,1.5,5.1,0.303,2.7,3.0,0.897,1.6,4.7,6.3,3.1,1.7,0.4,2.7,2.7,0.522,0.42700000000000005,157.3,5.3,16.8,10.8,16.6,14.8,2.9,1.2,26.3,-2.2,1.1,97.3,110.2,-13.0,138.9,13.9,0.213,1.1,0.6,0.2,7,6,0.5379999999999999,-0.4,0.6,0.1
84,Malik Dunbar,SCW,16,15.1,4.5,1.7,4.9,0.34600000000000003,0.3,1.4,0.217,0.5,0.6,0.8,0.4,2.3,2.7,0.8,0.5,0.3,0.8,1.4,0.43700000000000006,0.37799999999999995,136.4,3.2,15.0,9.4,6.7,12.7,1.6,1.4,17.0,-1.7,0.9,85.2,108.4,-23.2,44.3,6.3,0.059000000000000004,1.0,0.7,0.1,11,5,0.688,-0.4,0.4,0.0
85,Kris Dunn,ACC,15,27.0,11.8,4.5,9.9,0.456,0.5,2.1,0.25,1.3,1.8,0.7040000000000001,0.5,4.5,5.1,3.7,1.9,0.9,2.1,3.1,0.55,0.483,141.0,2.2,18.1,10.3,18.4,16.6,3.4,2.7,20.9,1.2,1.2,100.7,107.9,-7.1,155.1,15.1,0.188,1.7,0.9,0.2,8,7,0.5329999999999999,-0.2,0.7,0.5
86,Trevon Duval,GRG,32,29.2,11.9,4.7,10.4,0.446,0.8,2.9,0.261,1.2,2.0,0.594,0.4,2.8,3.3,5.3,1.0,0.2,3.0,2.3,0.525,0.48200000000000004,130.1,1.6,10.1,6.0,26.4,21.1,1.7,0.7,21.7,1.7,1.1,95.8,115.3,-19.5,262.3,10.2,0.245,1.7,0.3,0.2,17,15,0.531,-1.1,0.8,-0.3
87,Jaime Echenique,CAP,28,27.1,17.4,6.9,12.1,0.5720000000000001,0.0,0.2,0.2,2.0,2.5,0.8140000000000001,4.0,6.4,10.4,1.2,0.4,0.9,1.9,3.3,0.6579999999999999,0.574,158.7,15.7,24.6,20.2,6.8,12.7,0.6,3.1,23.4,-4.1,1.4,118.9,111.5,7.5,421.0,22.1,0.18600000000000003,0.6,0.2,0.2,20,8,0.7140000000000001,1.4,1.0,2.4
88,Carsen Edwards,SLC,31,35.9,26.7,9.9,21.3,0.466,3.2,8.3,0.38,2.3,2.8,0.828,0.3,2.4,2.6,4.2,1.6,0.2,3.1,1.8,0.593,0.54,167.3,0.7,7.3,3.9,20.6,12.1,2.2,0.6,31.1,-0.8,1.3,106.0,119.3,-13.3,426.1,18.1,0.34600000000000003,1.4,0.5,0.1,8,23,0.258,0.2,0.5,0.7
89,Rob Edwards,OKL,32,26.5,13.3,4.2,11.1,0.38,2.4,7.1,0.344,1.4,1.8,0.7759999999999999,0.6,3.8,4.4,1.3,0.8,0.3,1.6,2.2,0.56,0.49,150.0,2.2,14.1,8.4,7.0,11.8,1.4,0.9,21.8,-2.8,1.2,98.2,112.5,-14.3,236.8,10.5,0.134,0.8,0.5,0.2,13,19,0.406,-0.7,1.0,0.4
90,Vince Edwards,IWA,19,34.0,14.9,5.2,11.8,0.43799999999999994,2.5,7.4,0.34299999999999997,1.5,1.6,0.903,1.5,4.6,6.2,2.9,0.5,0.4,1.5,2.4,0.595,0.545,168.4,4.8,13.4,9.3,12.6,10.9,0.8,0.9,17.7,1.2,1.3,116.3,112.5,3.8,218.9,13.6,0.2,1.9,0.3,0.1,10,9,0.526,0.7,0.8,1.5
91,Malik Ellison,COL,25,22.2,7.1,2.5,5.6,0.44299999999999995,0.2,0.8,0.316,1.0,1.2,0.833,1.6,3.3,4.9,0.8,0.6,0.6,1.2,2.2,0.578,0.46399999999999997,159.2,7.6,14.8,11.3,4.7,16.4,1.3,2.4,13.8,-2.8,1.3,101.3,116.2,-14.9,156.3,9.8,0.076,0.7,0.5,0.2,16,9,0.64,-0.2,0.4,0.3
92,Lydell Elmore,WES,23,12.4,5.1,2.2,3.2,0.6890000000000001,0.0,0.0,0.0,0.4,0.6,0.6920000000000001,1.2,2.2,3.4,0.6,0.7,0.5,0.3,1.7,0.7340000000000001,0.6890000000000001,138.1,10.4,19.1,14.8,6.8,8.1,2.9,3.5,13.2,0.6,1.6,140.3,108.6,31.7,137.4,20.9,0.069,1.9,2.4,0.2,11,12,0.478,0.8,0.5,1.2
93,Jacob Evans,SCW,29,23.9,6.0,2.4,5.7,0.41600000000000004,0.3,1.9,0.182,0.6,0.7,0.8,1.1,3.8,4.9,2.5,0.8,0.7,1.3,2.2,0.498,0.446,139.7,4.9,16.3,10.6,13.6,17.9,1.6,2.6,13.1,1.4,1.0,99.4,116.2,-16.8,199.0,9.5,0.11699999999999999,1.9,0.6,0.1,14,15,0.483,-0.3,0.6,0.2
94,Jawun Evans,CLE,20,21.9,7.8,3.0,7.0,0.43200000000000005,0.7,1.5,0.433,0.8,1.0,0.789,0.8,3.2,3.9,3.9,0.9,0.1,1.6,1.6,0.526,0.478,165.4,3.6,14.0,8.9,24.8,17.8,2.0,0.2,17.5,4.4,1.1,107.2,119.2,-12.0,153.9,12.9,0.16899999999999998,2.4,0.6,0.1,4,16,0.2,0.1,0.2,0.3
95,Tacko Fall,CLE,26,26.5,14.8,6.3,8.3,0.7559999999999999,0.0,0.1,0.5,1.3,2.5,0.531,4.1,6.6,10.7,0.6,0.3,2.7,3.1,2.7,0.785,0.758,178.7,15.9,24.1,20.1,4.0,24.8,0.6,9.6,20.4,-10.3,1.8,117.0,110.6,6.4,411.5,24.9,0.175,0.2,0.1,0.3,5,21,0.192,1.0,1.0,2.0
96,Tarkus Ferguson,SLC,17,23.9,7.7,2.7,6.6,0.41100000000000003,1.9,4.8,0.395,0.2,0.5,0.5,0.6,3.2,3.8,1.7,0.8,0.6,0.7,1.2,0.5670000000000001,0.5539999999999999,130.6,2.5,15.2,8.5,11.3,9.4,1.7,2.4,14.0,1.8,1.2,109.4,109.9,-0.5,125.8,12.2,0.12300000000000001,2.4,1.2,0.1,4,13,0.235,0.1,0.6,0.8
97,Terrance Ferguson,RGV,21,17.8,3.0,1.1,3.7,0.295,0.3,2.2,0.128,0.3,0.5,0.636,0.7,1.5,2.2,0.7,0.3,0.2,1.0,2.1,0.386,0.33299999999999996,105.9,4.2,8.8,6.5,4.4,20.2,0.9,1.1,11.2,-3.1,0.8,77.8,119.1,-41.2,23.4,1.6,0.04,0.7,0.3,0.1,14,7,0.667,-0.6,0.2,-0.5
98,Frankie Ferrari,SCW,28,22.8,5.5,2.1,6.2,0.335,1.1,3.8,0.292,0.2,0.3,0.857,0.3,3.0,3.4,5.5,0.5,0.0,2.0,1.6,0.434,0.425,148.5,1.5,13.9,7.8,30.9,24.5,1.0,0.1,15.6,7.1,0.9,96.9,119.8,-22.9,181.9,7.9,0.18,2.7,0.2,0.0,13,15,0.46399999999999997,-0.5,0.2,-0.3
99,Brandon Fields,TEX,31,16.9,6.5,2.5,6.5,0.395,0.6,2.5,0.253,0.5,0.8,0.667,0.4,2.0,2.4,3.6,0.5,0.1,1.7,0.9,0.48200000000000004,0.445,131.5,2.6,12.4,7.5,31.6,20.1,1.5,0.3,22.2,4.3,1.0,95.6,119.0,-23.4,167.0,10.6,0.155,2.1,0.3,0.1,16,15,0.516,-0.7,0.3,-0.4
100,L.J. Figueroa,SCW,32,27.6,16.7,6.9,13.9,0.494,1.7,5.2,0.32299999999999995,0.8,1.0,0.7809999999999999,2.6,6.1,8.7,2.4,0.9,0.6,1.3,2.6,0.581,0.555,159.9,10.0,22.6,16.4,14.3,8.4,1.7,1.9,24.3,1.1,1.2,115.8,113.8,2.0,458.5,20.8,0.223,1.8,0.7,0.1,15,17,0.469,1.3,0.9,2.2
101,Aleem Ford,LAK,31,31.0,12.5,4.3,9.9,0.43799999999999994,2.6,6.8,0.387,0.7,0.9,0.759,0.6,3.4,4.1,1.6,0.7,0.3,0.9,1.9,0.609,0.5720000000000001,158.3,2.3,12.6,7.3,7.3,8.1,1.1,1.0,16.1,0.5,1.3,111.7,120.9,-9.2,271.1,11.8,0.14800000000000002,1.8,0.8,0.1,11,20,0.355,0.6,0.3,0.8
102,Jordan Ford,ACC,31,23.7,9.8,3.6,7.9,0.461,1.3,3.1,0.41200000000000003,0.8,0.9,0.857,0.4,1.6,2.0,3.1,0.7,0.0,1.1,1.0,0.591,0.5429999999999999,173.1,1.6,7.1,4.5,18.2,11.7,1.5,0.1,17.2,4.2,1.2,116.4,115.6,0.8,229.0,13.4,0.159,2.9,0.6,0.1,20,11,0.645,0.8,0.6,1.5
103,Marcus Foster,RGV,33,32.9,18.7,6.9,13.9,0.49700000000000005,2.5,6.2,0.405,1.4,1.9,0.758,1.0,2.6,3.6,4.2,1.1,0.2,2.8,2.5,0.633,0.5870000000000001,166.0,3.1,8.2,5.7,17.8,15.9,1.6,0.6,21.5,-0.1,1.3,116.8,117.7,-0.8,395.8,15.5,0.248,1.5,0.4,0.1,23,10,0.6970000000000001,1.6,0.7,2.2
104,"Melvin Frazier, Jr.",IWA,35,33.7,13.7,5.0,10.7,0.466,1.7,4.9,0.34299999999999997,1.4,1.8,0.7659999999999999,1.0,5.3,6.3,2.2,1.5,0.7,2.1,2.6,0.6,0.546,157.5,3.3,15.8,9.7,9.7,15.4,2.1,2.0,17.5,-1.8,1.3,105.6,111.5,-5.9,389.0,13.0,0.18,1.1,0.7,0.2,16,19,0.457,0.1,1.6,1.6
105,Wenyen Gabriel,WIS,8,28.5,17.1,6.6,14.5,0.457,1.4,4.4,0.314,1.5,2.4,0.632,3.1,6.4,9.5,2.4,0.9,2.0,2.5,4.6,0.551,0.504,140.3,10.7,21.0,15.9,13.2,13.9,1.4,5.7,25.7,-3.1,1.2,102.0,106.4,-4.5,109.6,17.8,0.218,1.0,0.4,0.2,3,5,0.375,-0.1,0.4,0.3
106,Langston Galloway,COL,24,32.1,16.4,5.6,13.5,0.41700000000000004,2.1,5.8,0.36700000000000005,2.0,2.3,0.889,0.7,4.4,5.1,4.2,1.0,0.5,1.4,1.6,0.5660000000000001,0.495,167.2,2.3,13.6,8.1,17.4,8.9,1.5,1.2,20.6,4.2,1.2,112.4,116.4,-4.0,311.3,15.1,0.222,3.0,0.7,0.2,17,7,0.708,0.7,0.6,1.3
107,Luka Garza,MCC,16,29.8,20.6,7.9,15.3,0.518,1.6,4.9,0.321,1.9,2.8,0.6890000000000001,3.4,6.1,9.5,1.3,0.8,1.1,2.1,3.1,0.623,0.569,152.8,11.3,20.7,16.0,6.8,11.1,1.2,2.9,25.4,-3.9,1.3,113.0,109.2,3.7,247.9,20.4,0.21899999999999997,0.6,0.4,0.2,9,7,0.563,0.5,0.8,1.3
108,Michael Patrick Gbinije,OKL,22,21.2,4.1,1.4,4.3,0.316,0.9,3.3,0.27399999999999997,0.3,0.4,0.75,1.0,2.6,3.6,1.2,0.5,0.5,0.5,1.5,0.457,0.42100000000000004,134.0,4.9,12.1,8.6,7.3,9.2,1.2,2.1,9.9,1.7,0.9,104.2,113.4,-9.3,103.8,7.6,0.063,2.7,1.1,0.1,8,14,0.364,0.0,0.5,0.5
109,Marcus Georges-Hunt,COL,26,32.0,13.4,4.5,9.3,0.47700000000000004,2.1,5.0,0.423,1.3,1.6,0.833,0.8,4.5,5.3,2.8,1.1,0.5,1.2,2.9,0.665,0.591,173.4,2.5,14.0,8.3,11.4,10.9,1.6,1.2,14.7,2.0,1.4,121.4,116.5,4.9,302.3,14.0,0.16699999999999998,2.3,0.9,0.2,17,9,0.654,1.1,0.6,1.8
110,Deng John Geu,TEX,31,14.9,4.3,1.7,3.5,0.486,0.3,1.1,0.265,0.4,0.6,0.579,1.2,2.4,3.6,0.6,0.3,0.5,0.9,1.6,0.5720000000000001,0.528,133.0,8.7,16.7,12.7,5.4,20.1,1.1,2.9,13.8,-3.8,1.2,101.4,117.2,-15.8,127.9,10.6,0.055999999999999994,0.6,0.3,0.2,17,14,0.5479999999999999,-0.1,0.3,0.2
111,Freddie Gillespie,MHU,22,20.8,9.1,3.8,6.2,0.606,0.1,0.2,0.4,0.8,1.1,0.68,2.6,3.5,6.0,0.9,0.9,1.2,1.1,3.0,0.679,0.613,168.6,12.7,17.6,15.1,6.5,14.0,2.0,5.0,16.2,-2.3,1.5,122.6,110.0,12.7,212.4,19.7,0.11199999999999999,0.8,0.8,0.2,12,10,0.545,0.8,0.7,1.5
112,Michael Gilmore,RAP,21,13.7,3.3,1.4,3.1,0.439,0.1,1.0,0.1,0.3,0.6,0.5379999999999999,1.0,3.0,4.0,0.7,0.5,0.3,0.9,2.1,0.48100000000000004,0.455,107.8,7.0,21.8,14.2,6.8,20.1,1.8,2.0,12.9,-2.7,1.0,92.8,111.9,-19.1,73.6,8.8,0.05,0.8,0.6,0.2,10,11,0.47600000000000003,-0.3,0.4,0.1
113,Brandon Goodwin,CLE,3,33.8,20.3,7.7,19.0,0.40399999999999997,2.3,8.3,0.28,2.0,3.0,0.667,0.0,5.0,5.0,5.3,2.0,0.0,3.7,2.3,0.5,0.465,135.0,0.0,14.3,7.3,29.9,15.3,2.9,0.0,30.6,-0.3,1.1,93.3,108.7,-15.3,33.6,13.4,0.358,1.5,0.5,0.2,0,3,0.0,-0.2,0.2,0.0
114,Jordan Goodwin,CAP,31,32.4,16.1,6.0,14.5,0.41200000000000003,1.2,4.1,0.302,1.8,2.3,0.792,2.3,3.9,6.1,4.6,2.0,0.4,1.8,2.3,0.518,0.45399999999999996,150.5,7.6,12.5,10.1,19.7,10.6,3.0,1.0,22.7,3.9,1.1,108.6,110.8,-2.2,416.8,16.3,0.243,2.5,1.1,0.2,21,10,0.677,0.5,1.4,1.9
115,Treveon Graham,LIN,18,25.1,4.5,1.4,4.4,0.32899999999999996,0.8,2.5,0.311,0.6,1.0,0.556,2.4,3.9,6.3,1.5,0.8,0.3,0.9,2.2,0.466,0.418,119.6,9.6,16.0,12.7,7.7,15.5,1.5,1.0,9.5,0.5,1.0,107.2,112.8,-5.6,121.0,9.1,0.073,1.7,0.9,0.2,10,8,0.556,0.1,0.5,0.6
116,Jayvon Graves,AUS,30,18.4,7.0,2.7,6.7,0.408,0.8,2.2,0.354,0.4,0.6,0.765,0.8,2.1,2.9,2.4,0.9,0.3,1.1,1.3,0.504,0.465,152.7,4.2,12.5,8.2,18.1,13.3,2.5,1.5,18.3,2.8,1.0,102.6,112.9,-10.3,182.4,12.7,0.12300000000000001,2.2,0.9,0.1,12,18,0.4,-0.1,0.6,0.5
117,Marcus Graves,WIS,31,27.4,8.6,3.0,8.4,0.363,1.1,4.1,0.276,0.9,1.1,0.848,0.5,2.8,3.3,5.4,1.2,0.5,1.9,2.2,0.486,0.431,148.7,1.9,11.4,6.5,25.9,18.0,2.1,1.5,17.2,6.0,1.0,99.1,118.3,-19.3,262.6,10.6,0.20199999999999999,2.8,0.6,0.1,8,23,0.258,-0.5,0.5,-0.1
118,Hassani Gravett,LAK,32,29.8,13.9,5.0,11.8,0.423,1.8,5.4,0.337,1.2,1.4,0.804,0.7,4.0,4.6,6.2,1.3,0.3,2.6,1.9,0.557,0.5,156.5,2.4,15.2,8.6,31.1,17.2,2.1,0.8,22.6,5.2,1.2,104.8,118.0,-13.2,393.5,14.6,0.281,2.4,0.5,0.1,11,21,0.344,0.0,0.6,0.6
119,Josh Gray,LIN,7,32.5,17.7,6.6,15.6,0.42200000000000004,1.3,3.4,0.375,1.9,3.0,0.619,0.3,3.6,3.9,4.6,1.3,0.4,2.3,2.3,0.524,0.46299999999999997,141.6,0.9,10.2,5.6,21.0,11.9,1.9,1.1,24.8,2.3,1.1,98.7,114.1,-15.4,75.1,12.5,0.267,2.0,0.6,0.2,3,4,0.429,-0.2,0.2,0.0
120,Raiquan Gray,LIN,26,22.8,6.3,2.3,5.3,0.43799999999999994,0.2,1.0,0.24,0.9,1.1,0.821,1.8,4.7,6.4,3.0,0.8,0.5,1.5,2.7,0.5529999999999999,0.46,149.9,7.7,20.8,14.2,18.2,21.1,1.8,2.1,13.5,2.2,1.2,107.3,110.0,-2.7,228.0,13.0,0.133,2.0,0.5,0.2,12,14,0.462,0.1,0.9,1.0
121,Jaire Grayer,LAK,24,22.8,7.8,3.0,7.1,0.42100000000000004,0.9,3.1,0.284,0.5,0.9,0.591,1.5,3.7,5.2,1.5,0.8,0.5,1.2,2.0,0.517,0.48200000000000004,129.6,7.1,19.0,12.8,9.4,13.8,1.6,2.4,17.2,-0.9,1.1,99.7,118.3,-18.6,167.8,11.3,0.114,1.2,0.6,0.1,9,15,0.375,-0.3,0.3,0.0
122,Gerald Green,RGV,21,28.0,16.6,5.9,13.7,0.42700000000000005,3.1,9.0,0.34700000000000003,1.1,1.4,0.828,1.2,3.6,4.9,2.0,0.7,0.7,2.0,2.2,0.579,0.542,160.2,4.8,13.3,9.1,10.3,12.5,1.2,2.1,24.1,-2.5,1.2,111.9,117.6,-5.6,209.6,14.9,0.17800000000000002,1.0,0.3,0.1,14,7,0.667,0.5,0.4,0.9
123,Quade Green,GRG,31,24.4,11.4,4.0,10.5,0.385,1.3,4.5,0.29,1.3,1.5,0.872,0.1,2.3,2.5,5.6,0.8,0.1,2.0,1.9,0.512,0.446,154.7,0.6,9.9,5.3,33.6,15.4,1.7,0.5,23.7,7.0,1.1,101.7,115.7,-14.0,261.1,12.3,0.237,2.7,0.4,0.1,16,15,0.516,-0.3,0.6,0.3
124,Kyle Guy,CLE,9,33.8,19.8,7.0,15.9,0.441,3.2,9.3,0.345,1.3,1.8,0.75,0.4,3.9,4.3,3.9,0.7,0.7,1.9,2.2,0.593,0.542,153.6,1.3,12.4,6.6,18.4,10.2,1.0,1.9,24.0,2.1,1.2,107.8,122.7,-14.9,115.0,15.3,0.273,2.1,0.4,0.1,2,7,0.222,0.1,0.0,0.1
125,Ashton Hagans,RAP,27,27.4,10.8,3.6,8.6,0.418,0.7,2.1,0.33899999999999997,1.9,2.3,0.8059999999999999,0.9,2.9,3.8,6.5,1.8,0.5,2.9,2.5,0.561,0.45899999999999996,156.4,3.5,11.0,7.2,32.2,23.4,3.2,1.6,19.2,5.2,1.3,104.0,107.8,-3.8,302.0,14.2,0.242,2.2,0.6,0.3,19,8,0.7040000000000001,-0.1,1.3,1.2
126,Tyler Hagedorn,MNE,15,19.9,6.2,2.3,4.9,0.466,1.2,3.2,0.375,0.3,0.5,0.5710000000000001,0.5,2.9,3.5,0.9,0.2,0.1,0.8,1.1,0.611,0.589,141.2,2.7,15.7,9.0,6.1,13.6,0.5,0.6,12.8,-1.1,1.3,107.8,117.0,-9.3,74.1,9.1,0.078,1.1,0.3,0.1,6,9,0.4,0.1,0.2,0.3
127,Josh Hall,RAP,24,14.0,5.6,2.0,4.7,0.42,0.5,1.6,0.308,0.6,1.3,0.484,0.5,2.5,3.0,0.9,0.3,0.3,0.8,1.8,0.5329999999999999,0.473,121.1,4.0,18.6,11.2,8.4,12.5,0.9,1.6,18.0,-1.2,1.2,96.2,112.3,-16.1,89.9,9.0,0.066,1.2,0.3,0.3,16,8,0.667,-0.3,0.4,0.1
128,Tyler Hall,WES,25,35.1,15.5,5.2,11.7,0.449,3.8,9.2,0.415,0.8,1.2,0.7,0.3,3.8,4.1,4.2,0.9,0.2,1.6,1.4,0.634,0.611,156.3,0.8,11.6,6.2,16.7,11.3,1.2,0.6,17.0,3.5,1.3,117.6,115.6,2.1,312.3,14.0,0.22899999999999998,2.7,0.6,0.1,15,10,0.6,1.1,0.8,1.8
